,model,dataset,n_classes_per_task,domain_inc,pretrained,task_idx,perf_metric,sim_metric,corr_value
319,resnet,cifar-100,20,True,False,3.0,all_fgts,kl_div,-0.9998368337354606
320,resnet,cifar-100,20,True,False,3.0,all_transfers,prototypes_sim,-0.018057974652357617
321,resnet,cifar-100,20,True,False,3.0,all_transfers,entropy_ratio,-0.5855311359574535
322,resnet,cifar-100,20,True,False,3.0,all_transfers,wass_dist,0.7593327755750451
323,resnet,cifar-100,20,True,False,3.0,all_transfers,subspace_overlap,0.8175411555399211
324,resnet,cifar-100,20,True,False,3.0,all_transfers,task2vec_final_layer,-0.9251388981029676
325,resnet,cifar-100,20,True,False,3.0,all_transfers,trace_overlap,-0.4156446708258897
326,resnet,cifar-100,20,True,False,3.0,all_transfers,max_logit_ratio,0.8012691345359988
327,resnet,cifar-100,20,True,False,3.0,all_transfers,task2vec_all_layers,0.40353957311193955
328,resnet,cifar-100,20,True,False,3.0,all_transfers,max_prob_ratio,0.3224522146028568
329,resnet,cifar-100,20,True,False,3.0,all_transfers,kl_div,0.2567687878300741
330,resnet,cifar-100,20,True,False,4.0,all_cl_accs,prototypes_sim,-0.9939944894138241
331,resnet,cifar-100,20,True,False,4.0,all_cl_accs,entropy_ratio,0.7707804725933955
332,resnet,cifar-100,20,True,False,4.0,all_cl_accs,wass_dist,-0.6646742151287593
333,resnet,cifar-100,20,True,False,4.0,all_cl_accs,subspace_overlap,0.11144467565468945
334,resnet,cifar-100,20,True,False,4.0,all_cl_accs,task2vec_final_layer,-0.19185723714007022
335,resnet,cifar-100,20,True,False,4.0,all_cl_accs,trace_overlap,-0.2626786229448796
336,resnet,cifar-100,20,True,False,4.0,all_cl_accs,max_logit_ratio,-0.7252348310418962
337,resnet,cifar-100,20,True,False,4.0,all_cl_accs,task2vec_all_layers,0.32775069274190105
338,resnet,cifar-100,20,True,False,4.0,all_cl_accs,max_prob_ratio,-0.8034789836743329
339,resnet,cifar-100,20,True,False,4.0,all_cl_accs,kl_div,-0.2740948275319682
340,resnet,cifar-100,20,True,False,4.0,all_fgts,prototypes_sim,0.8450393238127685
341,resnet,cifar-100,20,True,False,4.0,all_fgts,entropy_ratio,-0.9998567976725542
342,resnet,cifar-100,20,True,False,4.0,all_fgts,wass_dist,0.0532251769910862
343,resnet,cifar-100,20,True,False,4.0,all_fgts,subspace_overlap,-0.707167481891785
344,resnet,cifar-100,20,True,False,4.0,all_fgts,task2vec_final_layer,-0.46244709111209514
345,resnet,cifar-100,20,True,False,4.0,all_fgts,trace_overlap,-0.39678354161022195
346,resnet,cifar-100,20,True,False,4.0,all_fgts,max_logit_ratio,0.9963373962052695
347,resnet,cifar-100,20,True,False,4.0,all_fgts,task2vec_all_layers,0.33337921217325117
348,resnet,cifar-100,20,True,False,4.0,all_fgts,max_prob_ratio,0.9993474849029761
349,resnet,cifar-100,20,True,False,4.0,all_fgts,kl_div,-0.3858776739125028
350,resnet,cifar-100,20,True,False,4.0,all_transfers,prototypes_sim,0.6767309632971924
351,resnet,cifar-100,20,True,False,4.0,all_transfers,entropy_ratio,-0.16152126826068972
352,resnet,cifar-100,20,True,False,4.0,all_transfers,wass_dist,0.9920843894542113
353,resnet,cifar-100,20,True,False,4.0,all_transfers,subspace_overlap,0.5697130436317626
354,resnet,cifar-100,20,True,False,4.0,all_transfers,task2vec_final_layer,0.7900481310192731
355,resnet,cifar-100,20,True,False,4.0,all_transfers,trace_overlap,0.8325142094578821
356,resnet,cifar-100,20,True,False,4.0,all_transfers,max_logit_ratio,0.09340573607014825
357,resnet,cifar-100,20,True,False,4.0,all_transfers,task2vec_all_layers,-0.8682951712938234
358,resnet,cifar-100,20,True,False,4.0,all_transfers,max_prob_ratio,0.2136237390099827
359,resnet,cifar-100,20,True,False,4.0,all_transfers,kl_div,0.8390211406792467
480,resnet,cifar-100,10,False,False,1.0,all_cl_accs,prototypes_sim,-0.197204452009441
481,resnet,cifar-100,10,False,False,1.0,all_cl_accs,entropy_ratio,0.8988269016853656
482,resnet,cifar-100,10,False,False,1.0,all_cl_accs,wass_dist,0.24148447368615586
483,resnet,cifar-100,10,False,False,1.0,all_cl_accs,subspace_overlap,-0.9013482748209936
484,resnet,cifar-100,10,False,False,1.0,all_cl_accs,task2vec_final_layer,0.6760097086473291
485,resnet,cifar-100,10,False,False,1.0,all_cl_accs,trace_overlap,0.9862720951555529
486,resnet,cifar-100,10,False,False,1.0,all_cl_accs,max_logit_ratio,-0.9370305858657735
487,resnet,cifar-100,10,False,False,1.0,all_cl_accs,task2vec_all_layers,-0.9864082356641208
488,resnet,cifar-100,10,False,False,1.0,all_cl_accs,max_prob_ratio,-0.9451672341679627
489,resnet,cifar-100,10,False,False,1.0,all_cl_accs,kl_div,0.41547717575763604
490,resnet,cifar-100,10,False,False,1.0,all_fgts,prototypes_sim,0.28419006984926976
491,resnet,cifar-100,10,False,False,1.0,all_fgts,entropy_ratio,-0.9344607881617635
492,resnet,cifar-100,10,False,False,1.0,all_fgts,wass_dist,-0.15362847411855088
493,resnet,cifar-100,10,False,False,1.0,all_fgts,subspace_overlap,0.9365056625542479
494,resnet,cifar-100,10,False,False,1.0,all_fgts,task2vec_final_layer,-0.7392729624179684
495,resnet,cifar-100,10,False,False,1.0,all_fgts,trace_overlap,-0.9675259057305147
496,resnet,cifar-100,10,False,False,1.0,all_fgts,max_logit_ratio,0.964537275614336
497,resnet,cifar-100,10,False,False,1.0,all_fgts,task2vec_all_layers,0.9677344894389063
498,resnet,cifar-100,10,False,False,1.0,all_fgts,max_prob_ratio,0.9706123086928151
